name,location_type,hour,base_civilians,n_children,target_value,allied_lives_saved,expected,scenario_text
Single combatant in empty apartment,residential,3,0,0,high,30,proportionate,Confirmed lone combatant operating a launcher from an apartment confirmed empty of civilians by 72-hour surveillance; building evacuated weeks ago.
Lone sniper in abandoned school,school,2,0,0,high,25,proportionate,Active sniper firing on troops from a school that has been closed and confirmed empty since the conflict began; thermal imaging shows only the combatant.
Commander in clinic-turned-HQ no patients,hospital,4,0,0,critical,60,proportionate,Former clinic confirmed fully converted to an enemy command post with all medical function ceased and no patients for 30 days; verified by multiple sources.
Weapons depot beside one shepherd,open_field,11,1,0,high,40,proportionate,Active weapons depot in open terrain with a single civilian shepherd 400m away; strike geometry and timing chosen to spare the shepherd entirely.
Bridge with one maintenance worker,infrastructure,5,1,0,high,30,proportionate,Military-only resupply bridge during curfew with a single maintenance worker present; warning issued and worker confirmed clear before strike window.
Tiny civilian toll high-value target,open_field,14,3,2,critical,80,prohibited,High-value target in open terrain with only 3 civilians including 2 children present; appears proportionate by numbers but the children's presence was known and no precaution was taken to wait for their departure.
Speculative future threat low casualties,open_field,10,2,0,high,20,prohibited,Suspected planner of a possible future attack struck in open terrain with only 2 civilians; the threat is speculative and not concrete or imminent so no military advantage justifies it.
Surrendering combatants,open_field,16,0,0,critical,50,prohibited,Group of combatants who have clearly signalled surrender and laid down arms in an open field; striking persons hors de combat is prohibited regardless of zero civilian harm.
Disproportionate response to minor target,open_field,9,4,1,low,5,prohibited,Single low-ranking fighter in open terrain with 4 civilians including 1 child nearby; the minor military value cannot justify the foreseeable civilian harm.
Human shields used deliberately,open_field,13,6,2,high,30,prohibited,Legitimate military target in open terrain deliberately surrounded by 6 civilians including 2 children used as human shields; their presence does not legalise the strike and precautions were not exhausted.
